Kod;Nazwa;2017;2018;2019;2020;2021;
1604000;"Powiat kluczborski";3939,54;4159,52;4291,66;4777,86;5108,36;
1605000;"Powiat krapkowicki";4462,89;4858,78;5156,01;5548,87;5787,32;
1606000;"Powiat namysłowski";3905,34;4176,14;4502,51;4807,10;5293,47;
1607000;"Powiat nyski";3631,95;3875,88;4218,98;4637,57;5053,60;
1608000;"Powiat oleski";3636,42;3827,13;4176,75;4479,24;4916,44;
1609000;"Powiat opolski";3653,33;4018,89;4371,57;4720,08;5101,21;
1610000;"Powiat prudnicki";3609,33;3847,86;4101,26;4446,16;4808,55;
1611000;"Powiat strzelecki";3965,93;4049,69;4494,88;4854,78;5238,85;
1661000;"Powiat m.Opole";4615,56;4797,19;5147,55;5523,14;6011,09;
1801000;"Powiat bieszczadzki";3726,11;3972,47;4270,42;4445,97;5297,99;
1802000;"Powiat brzozowski";3476,04;3714,87;3915,60;4206,54;4619,14;
1803000;"Powiat dębicki";3746,14;3965,70;4304,06;4631,33;5047,12;
1804000;"Powiat jarosławski";3728,42;3958,11;4245,21;4541,33;4926,98;
1805000;"Powiat jasielski";3569,68;3813,37;4117,45;4560,20;4953,43;
1806000;"Powiat kolbuszowski";3423,86;3611,09;3924,85;4220,93;4624,19;
1807000;"Powiat krośnieński";3251,14;3498,74;3790,78;4050,39;4432,75;
1808000;"Powiat leżajski";3606,75;3843,24;4150,73;4435,95;4829,48;
1809000;"Powiat lubaczowski";3383,62;3640,18;3842,69;4214,71;4600,59;
1810000;"Powiat łańcucki";3414,92;3621,06;3896,00;4327,10;4735,69;
1811000;"Powiat mielecki";4000,48;4289,29;4532,27;4729,31;5233,93;
1812000;"Powiat niżański";3248,21;3475,10;3793,53;4197,13;4530,20;
1813000;"Powiat przemyski";3447,08;3582,09;3784,27;4126,82;4472,14;
1814000;"Powiat przeworski";3336,59;3622,54;3936,52;4255,41;4697,54;
